players,rounds,draw_rate_percent,samples,successes,failures,fail_no_match,fail_odd_group,fail_rule_violation,color_imbalance_tournaments,color_imbalance_events
12,7,0,50,0,50,50,0,0,48,222
12,7,5,50,0,50,50,0,0,30,96
12,7,10,50,0,50,50,0,0,30,97
12,7,15,50,0,50,50,0,0,21,61
12,7,20,50,0,50,50,0,0,22,68
12,7,25,50,0,50,50,0,0,26,76
12,7,30,50,0,50,50,0,0,30,78
13,7,0,50,0,50,50,0,0,47,140
13,7,5,50,0,50,50,0,0,31,86
13,7,10,50,0,50,50,0,0,19,45
13,7,15,50,0,50,50,0,0,21,52
13,7,20,50,0,50,50,0,0,23,56
13,7,25,50,0,50,50,0,0,16,37
13,7,30,50,0,50,50,0,0,23,45
14,7,0,50,0,50,50,0,0,46,236
14,7,5,50,0,50,50,0,0,23,99
14,7,10,50,0,50,50,0,0,23,77
14,7,15,50,0,50,50,0,0,26,88
14,7,20,50,0,50,50,0,0,27,82
14,7,25,50,0,50,50,0,0,29,97
14,7,30,50,0,50,50,0,0,33,110
15,8,0,50,0,50,50,0,0,47,188
15,8,5,50,0,50,50,0,0,33,111
15,8,10,50,0,50,50,0,0,29,83
15,8,15,50,0,50,50,0,0,22,62
15,8,20,50,0,50,50,0,0,24,71
15,8,25,50,0,50,50,0,0,28,67
15,8,30,50,0,50,50,0,0,24,54
16,8,0,50,0,50,50,0,0,47,263
16,8,5,50,0,50,50,0,0,34,148
16,8,10,50,0,50,50,0,0,24,80
16,8,15,50,0,50,50,0,0,23,80
16,8,20,50,0,50,50,0,0,33,104
16,8,25,50,0,50,50,0,0,24,87
16,8,30,50,0,50,50,0,0,24,104
17,8,0,50,0,50,50,0,0,46,191
17,8,5,50,0,50,50,0,0,36,114
17,8,10,50,0,50,50,0,0,22,56
17,8,15,50,0,50,50,0,0,27,69
17,8,20,50,0,50,50,0,0,24,69
17,8,25,50,0,50,50,0,0,39,112
17,8,30,50,0,50,50,0,0,29,98
18,8,0,50,0,50,50,0,0,46,244
18,8,5,50,0,50,50,0,0,33,138
18,8,10,50,0,50,50,0,0,22,85
18,8,15,50,0,50,50,0,0,26,108
18,8,20,50,0,50,50,0,0,27,113
18,8,25,50,0,50,50,0,0,31,171
18,8,30,50,0,50,50,0,0,38,139
19,9,0,50,0,50,50,0,0,47,175
19,9,5,50,0,50,50,0,0,30,94
19,9,10,50,0,50,50,0,0,20,68
19,9,15,50,0,50,50,0,0,27,81
19,9,20,50,0,50,50,0,0,25,84
19,9,25,50,0,50,50,0,0,32,93
19,9,30,50,0,50,50,0,0,32,111
20,9,0,50,0,50,50,0,0,49,331
20,9,5,50,0,50,50,0,0,21,92
20,9,10,50,0,50,50,0,0,26,128
20,9,15,50,0,50,50,0,0,28,116
20,9,20,50,0,50,50,0,0,19,76
20,9,25,50,0,50,50,0,0,29,119
20,9,30,50,0,50,50,0,0,42,176
21,9,0,50,0,50,50,0,0,47,236
21,9,5,50,0,50,50,0,0,28,100
21,9,10,50,0,50,50,0,0,27,108
21,9,15,50,0,50,50,0,0,29,90
21,9,20,50,0,50,50,0,0,34,144
21,9,25,50,0,50,50,0,0,37,165
21,9,30,50,0,50,50,0,0,39,147
22,9,0,50,0,50,50,0,0,49,373
22,9,5,50,0,50,50,0,0,31,137
22,9,10,50,0,50,50,0,0,28,131
22,9,15,50,0,50,50,0,0,36,183
22,9,20,50,0,50,50,0,0,32,151
22,9,25,50,0,50,50,0,0,41,214
22,9,30,50,0,50,50,0,0,40,204
23,9,0,50,0,50,50,0,0,49,251
23,9,5,50,0,50,50,0,0,30,132
23,9,10,50,0,50,50,0,0,29,104
23,9,15,50,0,50,50,0,0,27,110
23,9,20,50,0,50,50,0,0,38,164
23,9,25,50,0,50,50,0,0,34,115
23,9,30,50,0,50,50,0,0,40,161
24,9,0,50,0,50,50,0,0,50,435
24,9,5,50,0,50,50,0,0,31,122
24,9,10,50,0,50,50,0,0,32,164
24,9,15,50,0,50,50,0,0,28,169
24,9,20,50,0,50,50,0,0,40,220
24,9,25,50,0,50,50,0,0,43,235
24,9,30,50,0,50,50,0,0,36,196
25,9,0,50,0,50,50,0,0,49,288
25,9,5,50,0,50,50,0,0,30,138
25,9,10,50,0,50,50,0,0,29,121
25,9,15,50,0,50,50,0,0,32,141
25,9,20,50,0,50,50,0,0,37,159
25,9,25,50,0,50,50,0,0,41,174
25,9,30,50,0,50,50,0,0,44,178
26,9,0,50,0,50,50,0,0,50,527
26,9,5,50,0,50,50,0,0,27,140
26,9,10,50,0,50,50,0,0,30,157
26,9,15,50,0,50,50,0,0,35,196
26,9,20,50,0,50,50,0,0,39,209
26,9,25,50,0,50,50,0,0,41,258
26,9,30,50,0,50,50,0,0,43,199
27,9,0,50,0,50,50,0,0,50,329
27,9,5,50,0,50,50,0,0,29,115
27,9,10,50,0,50,50,0,0,22,80
27,9,15,50,0,50,50,0,0,29,139
27,9,20,50,0,50,50,0,0,29,146
27,9,25,50,0,50,50,0,0,42,230
27,9,30,50,0,50,50,0,0,41,175
28,9,0,50,0,50,50,0,0,49,480
28,9,5,50,0,50,50,0,0,19,78
28,9,10,50,0,50,50,0,0,25,113
28,9,15,50,0,50,50,0,0,35,199
28,9,20,50,0,50,50,0,0,33,209
28,9,25,50,0,50,50,0,0,40,283
28,9,30,50,0,50,50,0,0,47,305
29,9,0,50,0,50,50,0,0,50,416
29,9,5,50,0,50,50,0,0,28,108
29,9,10,50,0,50,50,0,0,27,130
29,9,15,50,0,50,50,0,0,33,148
29,9,20,50,0,50,50,0,0,37,205
29,9,25,50,0,50,50,0,0,42,252
29,9,30,50,0,50,50,0,0,47,239
30,9,0,50,0,50,50,0,0,50,491
30,9,5,50,0,50,50,0,0,26,130
30,9,10,50,0,50,50,0,0,28,196
30,9,15,50,0,50,50,0,0,33,208
30,9,20,50,0,50,50,0,0,37,253
30,9,25,50,0,50,50,0,0,44,310
30,9,30,50,0,50,50,0,0,45,341
